Word,Meaning,Example_EN,Example_CN
askance,(??/??)???,They looked askance at our scruffy clothes,??????????????????
awry,??????/??,Anything that goes awry (= goes wrong) in the office is blamed on Pete,????????????????????
careen,????,"The driver lost control of his car when the brakes failed, and it went careening down the hill",????????????????????????
circumvent,??,Ships were registered abroad to circumvent employment and safety regulations,??????????????????
gyrate,??/??,A line of male dancers gyrated to the music while the audience screamed their appreciation,??????????????????????????????
labyrinth,??,"Finally, through a labyrinth of corridors she found his office",??????????????????????
meander,????/??/??????,We spent the afternoon meandering around the streets of the old town / The film meanders along with no particular story line,???????????????? / ????????????????????
oblique,??/?????,He gave her an oblique glance / She made several oblique references to the current financial situation,?????? / ??????????????????
serrated,????,You really need a knife with a serrated edge for cutting bread,??????????????????
sidle,????,"She sidled past him, pretending that she had not seen him",?????????????????
sinuous,???,He enjoyed watching the sinuous bodies of the dancers / The hikers followed the sinuous path through the trees,???????????? / ?????????????????
undulate/undulating,??,The road undulates for five miles before a steep climb / the undulating countryside,?????????????????????? / ?????????
vortex,??(???),I was sucked into a vortex of despair,???????????
estranged,???,his estranged wife,??????
ambivalent/ambivalence,?????,I felt very ambivalent about leaving home,?????????????
harbinger,??,a harbinger of doom,?????
effigy,(?????)???,Crowds marched through the streets carrying burning effigies of the president,?????????????????
cosset,??,Children sometimes need to be cosseted,????????
chastise,????,Charity organizations have chastised the government for not doing enough to prevent the latest famine in Africa,????????????????????????????
mollify,??,I tried to mollify her by giving her flowers,?????????
meticulous,???/?????,Many hours of meticulous preparation have gone into writing the book,???????????????????
arid,???/????/????,"Theÿdesertÿis so arid that nothing canÿgrowÿthere / After several arid years, the company has started to become successful / I found his writing extremely arid",???????????? / ??????????????????????????? / ????????????
inundate,??/?????,If the dam breaks it will inundate large parts of the town / We have been inundated with requests for help,?????????????????????? / ?????????????
guzzle,????,He guzzled his beer and ordered another,????????????????
quaff,??,,
imbibe,?/????,Have you been imbibing again?,????????
quandary,??/????,"I've had two job offers, and I'm in a real quandary about/over which one to accept",????????????????????????
envisage,??/??,It's hard to envisage how it might happen,???????????????
angst,??,All my children went through a period of late-adolescent angst,?????????????????????????
xenophobic,???,There have been outbursts of xenophobic violence,????????
conflagration,??/??,The government has turned a minor local problem into a full-blown regional conflagration,????????????????????????
menacing,???,a menacing look/gesture,????????
entice,?? ,Theÿadvertsÿentice theÿcustomerÿintoÿbuyingÿthings they don't reallyÿwant ,??????????????????? 
contentious,???? ,a contentiousÿdecision/policy/issue/subject ,???????????????
fraught,?????,This is one of the most fraughtÿweekendsÿof theÿyearÿfor theÿsecurityÿforces ,???????????????????? 
belligerent,???,a belligerent person,????
impervious,????/?????,He is imperviousÿtoÿcriticismÿandÿrationalÿargument,???????????? 
languish ,?? ,He has been languishingÿinÿjailÿfor the past 20ÿyears ,???20??????????? 
repatriate ,?? ,Theÿgovernmentÿrepatriated him because he had noÿvisa ,??????????????? 
defang ,?? ,"Inÿtryingÿto defang theÿterroristÿthreat, the US will have toÿdismantleÿaÿmassiveÿmoneyÿlaunderingÿnetwork ",?
emphatic,???,Polandÿreachedÿtheÿfinalÿof theÿchampionshipÿyesterdayÿwith an emphatic 5?0ÿvictoryÿover Italy ,???????????????????????? 
fret,?? ,Don't fret - I'mÿsureÿhe's OK ,?????????? 
bombastic,???,a bombastic preacher,????????
circumlocution,???????,"""Economical with the truth"" is a circumlocution for ""lying""",???????????????????
garrulous,?????,The garrulous parakeet distracted its owner with its continuous talking,
grandiloquent,???,"Her speech was full of grandiloquent language, but it contained no new ideas",???????????????????????
loquacious,???,,
periphrastic,???/???,,
prolix,???,The author's prolix style has done nothing to encourage sales of the book,????????????????????
rhetoric,??/????,"In reply to the question, he just produced a lot of empty (= meaningless) rhetoric",?????????????????????
turgid,????? ,a couple of pages of turgid prose,?????????
verbose,???,a verbose explanation/report/speech/style,?????????????????????????
ameliorate,??,Foreign aid is badly needed to ameliorate the effects of the drought,??????????????
appease,??,She claimed that the government had only changed the law in order to appease their critics,???????????????????????
defer,??,My bank has agreed to defer the repayments on my loan,????????????
mitigate,??,It is unclear how to mitigate the effects of tourism on the island,?????????????????????
placate,??,Outraged minority groups will not be placated by promises of future improvements,?????????????????????
satiate,???,He drank greedily until his thirst was satiated,???????????
slake,??,"After our long game of tennis, we slaked our thirst with a beer / I don't think Dick will ever manage to slake his lust for power",???????????????????? / ????????????????????
soothe,???/??,"to soothe a crying baby / I had a long, hot bath to soothe my aching muscles",?????????? / ??????????????????????
bestow,??,The George Cross is a decoration that is bestowed upon/on British civilians for acts of great bravery,????????????????????????
obviate,??,A peaceful solution would obviate the need to send a UN military force,??????????????????????
indignantly,???,He indignantly denied that he ever treated the two children differently,????????????????????
spitefully,???,She spitefully removed his name from the invitation list,??????????????????
bitterly,???/???,She wept bitterly at the news,????????????
soberly,??/???,She was dressed very soberly in a plain grey suit,?????????????????
melancholic,??,a melancholic expression,?????
disaffected,??/???,The party needs to take steps to attract disaffected voters,?????????????????
dogged,???,Her ambition and dogged determination ensured that she rose to the top of her profession,?????????????????????
arduous,???,an arduous climb/task/journey,???????????????????
colossal,???,"In the centre of the hall stood a colossal wooden statue, decorated in ivory and gold",????????????????????????
adamant,???/???,I've told her she should stay at home and rest but she's adamant that she's coming,???????????????????
Herculean,???,She faces the Herculean task of bringing up four children single-handedly,????????????????
Gordian knot,?????,to cut the Gordian knot (= to deal with problems by taking forceful action),?????
picayune,?????,The misery suffered in this war makes your own problems seem pretty picayune,????????????????????????
paltry,?????,Student grants these days are paltry,????????????
infinitesimal,????,The amounts of radioactivity present were infinitesimal,????????
interminable,????,an interminable delay,???????
unmitigated,???,The whole venture has been an unmitigated disaster,???????????
egregious,?????,It was an egregious error for a statesman to show such ignorance,?????????????????????????
consummate,?????,a life of consummate happiness,???????
expulsion,??,They threatened him with expulsion from school,????????????
irradiation,?/??,X-rays are a form of irradiation,X??????
ebb/ebbing,??/??,He could feel his strength ebbing (away),?????????????
forge,??/??,a forged passport / The accident forged a close bond between the two families,????? / ????????????????
acquiesce,??,"Reluctantly, he acquiesced to/in the plans",?????????????????
capitulate,??/????,Their forces capitulated five hours after the bombardment of the city began / The sports minister today capitulated to calls for his resignation,?????????????????????? / ??????????????????
harmonious,??/???,harmonious relations between the country's ethnic groups,??????????????
melodious,???,,
sonorous,?????,a sonorous voice,?????
destitute,?????,The floods left thousands of people destitute,??????????
esurient,???,,
impecunious,???,I first knew him as an impecunious student living in a tiny apartment,?????????????????????????
indigent,???,,
acclaim,??,"Despite the critical acclaim, the novel did not sell well",????????????????????
accolade,??,Her approval was the highest accolade he could receive,????????????????
aggrandize,????,The superivor sought to aggrandize herself by claiming that the achievements of her staff were actually her own,
encomium,??,,
eulogy/eulogize,??/??,Critics everywhere have eulogized her new novel,?????????????????
extol,??,His book extolling the benefits of vegetarianism sold thousands of copies,??????????????????
fawn over/fawning,??,I hate waiters who fawn over you,??????????
venerate/veneration,??,Robert Burns is Scotland's most venerated poet,???ú?????????????
shun,??,After the trial he was shunned by friends and family alike,?????????????
eclipse,??/????,The economy has eclipsed all other issues during this election campaign,?????????????????????
tantalize,??,,
salivate,???,The thought of all that delicious food made me salivate,??????????????????
frenetic,???,"After weeks of frenetic activity, the job was finally finished",???????????????????
exhilarating,????,an exhilarating walk in the mountains,?????????
bonanza,??/????,The rise in house prices meant that those who were selling enjoyed a bonanza,?????????????????
dent,??/???,"His confidence was badly dented when he didn't get the job / I dropped a hammer on the floor, and it dented the floorboard",????????????????????? / ?????????????????????
strew,??,"They marked the end of the war by strewing flowers over the graves of 18,000 soldiers",???1.8??????????????????????
vagaries,????,The success of the event will be determined by the vagaries of the weather,?????????????????
adjudicate,??,He was asked to adjudicate on the dispute,??????????????
quirk,??,There is a quirk in the rules that allows you to invest money without paying tax,???????????????????????
flout,??,Many motorcyclists flout the law by not wearing helmets,????????????????
jaunt,??,a Sunday jaunt into the hills,??????
allure,??/??,the allure of working in television,?????????????
quackery,?????,,
eccentric,???,eccentric behaviour,?????
sclerotic,???/???,The tax cuts are designed to bring growth to a sclerotic economy,??????????????
falter,??/??,The dinner party conversation faltered for a moment / Her friends never faltered in their belief in her,????????????? / ??????????????
usher,??,She ushered us into her office and offered us coffee,???????????????????
wreak,??,"The storm wreaked (= caused) havoc in the garden, uprooting trees and blowing a fence down",?????????????????????????
havoc,??,"The storm wreaked (= caused) havoc in the garden, uprooting trees and blowing a fence down",?????????????????????????
profligate,???,She is well-known for her profligate spending habits,???????????
incendiary,?????/????,incendiary remarks,?????
atrocity,??,These people are guilty of acts of appalling atrocity (= cruelty),???????????????
outlandish,???,an outlandish hairstyle/outfit,????????
ambient,???,ambient conditions/lighting/noise/temperature,?????????????
d‚tente,??(???),The talks are aimed at furthering d‚tente between the two countries,???????????????
clout,???,The Queen may have privilege but she has no real political clout / Quigley clouted me smartly across the side of the head,??????????????????? / ?????????????????
vanity,??,He wants the job purely for reasons of vanity and ambition,????????????????????
throng,??/??,Crowds thronged the market place,???????
mired,??,The peace talks are mired in bureaucracy,???????????????
augur,??,The company's sales figures for the first six months augur well for the rest of the year,????????????????????
auspice,??,,
fey,?????,He dismissed her later poems as fey and frivolous,?????????????????????
presage,??,But still the economy is not showing signs of any of the excesses that normally presage a recession.,????????????????????????????
prescient,???,a prescient warning,??????
prognosticate,??,He is in a good position to prognosticate on the future of commerce,?????????????????????
discomfort,??,You may feel a little discomfort for a few days after the operation,??????????????????
encumber,??,"Today, thankfully, women tennis players are not encumbered with/by long, heavy skirts and high-necked blouses",????????????????????????????????
fetter,??,He felt fettered by a nine-to-five office existence,??????????????????
forfend,??,,
hinder,??,High winds have hindered firefighters in their efforts to put out the blaze,?????????????
impede,??,"Although he's shy, it certainly hasn't impeded his career in any way",??????????????????????
inhibit,?????/??,Some workers were inhibited (from speaking) by the presence of their managers / This drug inhibits the growth of tumours,???????????????? / ????????????
occlude,??,Veins can get occluded by blood clots,?????????
astute,???,an astute investor/businesswoman,??????????
canny,???,These salesmen are a canny lot,?????????????
erudite,???,He's the author of an erudite book on Scottish history,????????????????????
perspicacious,???,"His perspicacious grandfather had bought the land as an investment, guessing that there might be gold underground",????????????????????????
disconsolate,??,The players were disconsolate after losing what should have been an easy game,????????????????????????????
doleful,???,a doleful expression,?????
forlorn,?????,She looked a forlorn figure standing at the bus stop,??????????????
lugubrious,???,a lugubrious face,???????
melancholy,???,a melancholy piece of music,???????
morose,???,a morose expression,?????
plaintive,???,the plaintive sound of the bagpipes,"??????
"
threnody,??,,
mediate,??,Negotiators were called in to mediate between the two sides,????????????
feud,????,a ten-year-old feud between the two countries,??????????
skittish,???,Investors are skittish about the impact of an economic downturn,??????????????????
riven,???,It was a community/nation/family riven by hatred,??????????????????????
grandiose,?????,grandiose schemes/designs/ideas for making money,???????????????
dalliance,??,The 1970s witnessed the first of the pop star's dalliances with communism,20??70?????????????????
herald,??,The president's speech heralds a new era in foreign policy,????????????????????
cajole,??,He really knows how to cajole people into doing what he wants,???????????
manoeuvre,????,Reversing round a corner is one of the manoeuvres you are required to perform in a driving test,?????????????????
repercussion,????,Any decrease in tourism could have serious repercussions for the local economy,?????????????????????????????
decadent,??/???,a decadent society,?????
autarky,??????,In practice Germany under Hitler never achieved autarky and depended on the import of oil,??????????????????????????????????
dwindle,??,The community has dwindled to a tenth of its former size in the last two years,?????????????????????
exodus,?????,There has been a mass exodus of workers from the villages to the towns,??????????????????
jamboree,????,"The beer festival was a huge open-air jamboree with music, stalls and everyone enjoying themselves",???????????????????????????????
appalling,?????,Prisoners were kept in the most appalling conditions,???????????????
gauge,??/??,A poll was conducted to gauge consumers' attitudes,????????????????????
harrumph,?,I didn't hear what he said - he sort of harrumphed and walked off,???????????????????
linchpin,??,Woodford is the linchpin of the British athletics team,????????????????
lurch,??/??,We seem to lurch from crisis to crisis / The train lurched forward and some of the people standing fell over,??????????????? / ?????????????????????
binge,????????,a drinking/eating/spending binge,?????????
spur,??,Rising consumer sales have the effect of spurring the economy to faster growth,?????????????????
tout,??,The minister has been touting these ideas for some time,???????????????????
impending,?????,impending disaster/doom,??????????
defiant,???,a defiant attitude/gesture,????????
ensnare,??/?????,"They wanted to make a formal complaint about their doctor, but ended up ensnared in the complexities of the legal system",??????????????????????????????????
wedded,???,Managers can become wedded to a certain way of doing things,??????????????????????
beset,?????,"With the amount of traffic nowadays, even a trip across town is beset by/with dangers",?????????????????????
discern,??/??,It is difficult to discern any pattern in these figures,????????????
implacable,?????,an implacable enemy / implacable hostility,?? / ???????
inexorable,?????,the inexorable progress of science,?????????
intractable,????,We are facing an intractable problem,????????????
intransigent/intransigence,???,Unions claim that the management continues to maintain an intransigent position,????????????????
obdurate,???/???,The president remains obdurate on immigration / Union leaders remain obdurate that working conditions and pay improve,?????????????? / ??????????????????
obstinate,???,He can be very obstinate at times,??????????
recalcitrant,?????,,
refractory,???/????,This is a chronic and disabling condition that is refractory to treatment / a refractory child,???????????????????? / ??????
renitent,?????/???,,
untoward,???/?????,Unless anything untoward happens we should arrive just before midday,??????????????????????
vexing/vex/vexatious/vexation,?????,The shortage of qualified teachers remains a vexing problem,???????????????????????
compendious,??/???,"This is a compendious, judicious collection of poetry / He had such a compendious vision of what it meant to be alive",???????????????? / ?????????????????
curt,???/?????,to give a curt nod/reply,??????????????
pithy,?????,a pithy remark,???????
succinct,???,Keep your letter succinct and to the point,??????????
taciturn,?????,"He's a reserved, taciturn person",?????????
antecede/antecedent,????,Charles Babbage's mechanical calculating engines were the antecedents of the modern computer,????????????????????
antedate,?????,,
anterior,???/???,Specimens for examination were taken from the anterior side of the left ventricle from each heart,????????????????
archaic,???,an archaic system of government,?????
diurnal,?????,,
eon,?????,I've been waiting eons for my new computer,????????????
ephemeral,???,Fame in the world of rock and pop is largely ephemeral,??????????????????
epoch,??/??,"The president said that his country was moving into a new epoch, which would be one of lasting peace",?????????????????????
fortnight,???,a fortnight's holiday,?????
millennium,???,The corpse had lain preserved in the soil for almost two millennia,??????????????
penultimate,?????,It's the penultimate episode of the series tonight,???????????????????
synchronous,???,The dancers perform a sequence of wonderfully synchronous movements,?????????????????
temporal,???,,
sap,?? ,Constant criticism saps you of your confidence,???????????
blunder,??,He said that the tax was a major political blunder,???????????????
aver,??,The lawyer averred her client's innocence,?????????????
shunt,??,Viewers are sick of their favourite sitcoms being shunted to later times to make way for live sports coverage,????????????????????????????????????
despondent,???,He became/grew increasingly despondent when she failed to return his phone calls,?????????????????
nostalgia/nostalgic,??,Some people feel nostalgia for their schooldays / Talking about our old family holidays has made me feel all nostalgic,?????????????????? / ??????????????????????????
exquisite,???,an exquisite piece of china,???????
oblivion,???,He was another minor poet who was consigned to oblivion,?????????????
communion,??,He found spiritual communion with her,?????????????????
abrasive,????,He can sometimes be abrasive in meetings,???????????????
craven,???,a craven act of terrorism,?????????
diffident,???,You shouldn't be so diffident about your achievements - you've done really well!,????????????????????????
pusillanimous,???,He's too pusillanimous to stand up to his opponents,?????????????????
recreant,???,,
trepidation,????,We view future developments with some trepidation,????????????????
candor/candid,??,"""We really don't know what to do about it,"" she said with surprising candour",??????????????????????????
fealty,???,an oath of fealty,????
frankness,??,A lot more frankness is needed in sex education if we are to reduce the number of teenage pregnancies,???????????????????????????
indisputable,?????,One fact is indisputable - this must never be allowed to happen again,???????????????????????
indubitable,?????,an indubitable fact,???????
legitimate,???/???,The army must give power back to the legitimate government / He claimed that the restaurant bill was a legitimate business expense,?????????????? / ?????????????????
sincere,???,a sincere apology,?????
veracious,???,a veracious and trustworthy historian,???????????
verity,??,"In the film, he plays a spy whose mission is to confirm the verity of a secret military document",?????????????????????????????????
anomaly/anomalous,??/???,Statistical anomalies can make it difficult to compare economic data from one year to the next / In a multicultural society is it not anomalous to have a blasphemy law that only protects one religious faith,????????????????????????? / ???????????????????????????????????
idiosyncrasy,??,She often cracks her knuckles when she's speaking - it's one of her little idiosyncrasies,?????????????????????????
ambulatory,(??)?????,an ambulatory surgery,????
itinerant,???,an itinerant journalist/labourer/preacher,??????????????????
peripatetic,???,a peripatetic music teacher,???????
discursive,???,a discursive essay,???????
expatiate,????,She expatiated on/upon her work for the duration of the meal,??????????????????
forage,??/??,"The children had been living on the streets, foraging for scraps",?????????????????
peregrination,(??)??,,
sojourn,??,My sojourn in the youth hostel was thankfully short,???????????????
adulterate,(??)??,There were complaints that the beer had been adulterated with water,??????????????
enervate,???/??,The guerrillas hoped that a series of surprise attacks would enervate the regular army,
exacerbate,???,This attack will exacerbate the already tense relations between the two communities,???????????????????????????
stultify,????/????,She felt the repetitive exercises stultified her musical technique so she stopped doing them,??????????????????????????????
undermine,??,The president has accused two cabinet members of working secretly to undermine his position/him,?????????????????
vitiate,??,He said that American military power should never again be vitiated by political concerns,???????????????????????????
adage,??,"He remembered the old adage ""Look before you leap""",???????????????
aphorism,??,"Oscar Wilde was famous for such aphorisms as ""Experience is the name everyone gives to their mistakes""",?????????????????????????????????????
apothegm,??,"We are all familiar with Tolstoy's apothegm: ""Happy families are all alike; every unhappy family is unhappy in its own way.""",?????????????????????????????????????????
axiom/axiomatic,??/?????,It is a widely held axiom that governments should not negotiate with terrorists / It is an axiomatic fact that governments rise and fall on the state of the economy,??????????????????????? / ???????????????????????
bromide,????,,
dictum,??,,
epigram,?????,"One of Oscar Wilde's most frequently quoted epigrams is ""I can resist everything except temptation""",?????????????????????????????????
sententious,???,The document was sententious and pompous,?????????????
truism,????,"As far as health is concerned, it's a truism that prevention is better than cure",????????????????????
abeyance,??,Hostilities between the two groups have been in abeyance since last June,???????????????????
abortive,???,He made two abortive attempts on the French throne,????????????????????
abrogate,????,The treaty was abrogated in 1929,????1929???
decamp,????,He decamped from the hotel with someone else's luggage,?????????????????
demur,??,"The lawyer requested a break in the court case, but the judge demurred",??????????????
recant,??????,"After a year spent in solitary confinement, he publicly recanted (his views)",????????????????????????
recidivism,??,This program is aimed at reducing recidivism,???????????
remission,??/??,He was given three months' remission for good behaviour / He believes that redemption is based on remission of sins,????????????? / ???????????????
renege,??,"If you renege on the deal now, I'll fight you in the courts",?????????????????
rescind,??,The policy of charging air travellers for vegetarian meals proved unpopular and has already been rescinded,?????????????????????????????????
retrograde,???,He said it would be a retrograde step to remove single parent benefits,????????????????
profess,??,She professes not to be interested in money,?????????
contend,??/??,There are three world-class tennis players contending for this title / The lawyer contended (that) her client had never been near the scene of the crime,????????????????? / ???????????????????
venture,????,"She tentatively ventured the opinion that the project would be too expensive to complete, but the boss ignored her",???????????????????????????????????
rudimentary,???/???,Her knowledge is still only rudimentary,?????????
indecipherable,????,Her handwriting is virtually indecipherable,??????????
hieroglyphic,?????,,
rustic,??/???,a rustic bench/cabin,????????????
ostracize,??,His colleagues ostracized him after he criticized the company in public,??????????????????????
excommunicate,??(??),,
exigency,????,the exigencies of war,???????
dissension,??/??,There are signs of dissension within the ruling political party,???????????????
contention,??/??,"There's a lot of contention about that issue - for every person firmly in favour, there's someone fiercely against it / It is her contention that exercise is more important than diet if you want to lose weight",?????????????????????????? / ???????????????????
squall,??/??,Violent squalls signalled the approach of the hurricane,???????????
jaunty,?????,a jaunty grin/step,?????????????????
burnished,???,The case is burnished aluminium,???????????
slipshod,???,She complained that the carpenter's work had been slipshod,??????????????
blithe,?????/???,She shows a blithe disregard for danger / She blithely agreed to the contract without realizing what its consequences would be,???????? / ??????????????????????
novel,???,a novel idea/suggestion,????????
parsimonious,?????,She's too parsimonious to heat the house properly,??????????????????
commend,??,The judge commended her for/on her bravery,?????????
proscribe,??,Torture and summary execution of political prisoners are proscribed by international law,??????????????????
abscond,??,Two prisoners absconded last night,??????????
abyss,??/??,The country is sinking/plunging into an abyss of violence and lawlessness,?????????????????
aesthetic,???,The new building has little aesthetic value/appeal,????????????
alleviate,??,The drugs did nothing to alleviate her pain/suffering,????????????????????
amalgamate,??,The electricians' union is planning to amalgamate with the technicians' union,??????????????
analogous,???,The experience of mystic trance is in a sense analogous to sleep or drunkenness,?????????????????????
arbitrate,??,An outside adviser has been brought in to arbitrate the dispute between the management and the union,?????????????????????
attenuate,??,Radiation from the sun is attenuated by the earth's atmosphere,????????????
austere,???/????,"an austere childhood during the war / The courtroom was a large, dark chamber, an austere place",?????????? / ?????????????????
catalyst,???,,
chaos,??,Snow and ice have caused chaos on the roads,????????????
chauvinist,???????,The crowd was enthusiastically singing chauvinistic patriotic songs,????????????????
condone,??,"If the government is seen to condone violence, the bloodshed will never stop",???????????????????????
convoluted,?????,His grammar explanations are terribly convoluted,????????????? 
crescendo,?????,There has been a rising crescendo of violence in the region,??????????
decorum,????,As young ladies we were expected to act/behave with proper decorum,?????????????????????
deference,??,He treats her with such deference,??????
desiccate,??,Intensive farming has dessicated the land,?????????
thorny,???,the thorny issue of taxation,???????
luminary,??/????,Luminaries of stage and screen (= famous actors) assembled for last night's awards ceremony,??????????????????
hail,??,Shall we hail a taxi? / I tried to hail her from across the room,?????????/ ????????????
panacea,????,Technology is not a panacea for all our problems,????????????????????
pundit,??,a political/foreign-policy/sports pundit,????????????
vista,??/??,"As leader, he opened up exciting vistas of global cooperation",??????????????????
sift,?/????,"When the cake is cooked, sift some icing sugar over the top of it / The police are sifting the evidence very carefully to try and find the guilty person",??????????????? / ????????????????????
realm,??,Her interests are in the realm of practical politics,??????????
prodigious,???/???,She was a prodigious musician / He had a prodigious appetite for both women and drink,???????????? / ?????????????
in tandem,??/???,The heart and lungs will be transplanted in tandem,??????????
perky,???,You look very perky this morning,???????????
behemoth,????,a grocery chain behemoth,?????????
foil,??,The prisoners' attempt to escape was foiled at the last minute when police received a tip-off,????????????????????????
heedless,????,Heedless destruction of the rainforests is contributing to global warming,???????????????????
detonate,??,The device detonated unexpectedly,?????????
munitions,??,The army used precision-guided munitions to blow up enemy targets,???????????????????
ammunition,??,a good supply of ammunition,???????
attrition,??,Terrorist groups and the government have been engaged in a costly war of attrition since 2008,?2008????????????????????????????
desultory,??/????,She made a desultory attempt at conversation,?????????
dilate,??,The pupils of the eyes dilate as darkness increases,???????????
dilatory,???,British institutions have been dilatory in cutting credit card charges,??????????????????????
dirge,??,Melville wrote the poem ?A Dirge for James McPherson? for the funeral of a Union general who was killed in 1864,
disabuse,????,"He thought that all women liked children, but she soon disabused him of that (idea/notion)",?????????????????????????
disparate,?????,The two cultures were so utterly disparate that she found it hard to adapt from one to the other,??????????????????????????????
dupe,??,The girls were duped by drug smugglers into carrying heroin for them,????????????????????
efficacy,??,They recently ran a series of tests to measure the efficacy of the drug,??????????????????????
enumerate,??,He enumerated the benefits of the insurance scheme,???????????????
estimable,?????,Her performance under such stressful conditions was estimable,?????????????????
euphemism,????,"""Senior citizen"" is a euphemism for ""old person""",?????????????????
exigent,???,an exigent problem,???????
explicit,???,I gave her very explicit directions how to get here,????????????
fanatical,???,His dedication to fitness was almost fanatical,????????????????
florid,?????,a florid architectural style,???????
foment,??,The song was banned on the grounds that it might foment racial tension,????????????????
frugality,??,She was known for her simplicity and frugality,???????????
homogenous,???,The population of the village has remained remarkably homogeneous,?????????????????
imperturbable,??/???,"The counselor had so much experience dealing with distraught children that she seemed imperturbable, even when faced with the wildest tantrums",
innocuous,???,Some mushrooms look innocuous but are in fact poisonous,???????????????
lavish,???,lavish spending,?????
luminous,???,luminous clothing,???
malinger,??,And is he really ill or just malingering?,????????????
malleable,????,Lead and tin are malleable metals,????????????
metaphor,??,"""The mind is an ocean"" and ""the city is a jungle"" are both metaphors",???????????????????
misanthrope,???,,
monotony,????,"The routine was the same every day, with nothing to break/relieve the monotony",??????????????????????????
obsequious,?????,She is embarrassingly obsequious to anyone in authority,?????????????????????
onerous,??/???,the onerous task of finding a peaceful solution,?????????????
ostentation,??,Her luxurious lifestyle and personal ostentation were both hated and envied,???????????????????
paragon,??,"In the novel, Constanza is a paragon of virtue",???????????????????
pedant/pedantic,??????,The graduate instructor?s tedious and excessive commentary on the subject soon gained her a reputation as a pedant,
perfunctory,??,His smile was perfunctory,???????
plastic/plasticity,???,Clay is a very plastic material,?????????????
sombre/somber,???,a sombre atmosphere/voice/face,??????????
versatile,????,A leather jacket is a timeless and versatile garment that can be worn in all seasons,?????????????????????????????
abdicate,??,King Edward VIII abdicated (the British throne) in 1936,????????1936???????????
abject,????(??),They live in abject poverty,?????????
abscission,??/??,The flower buds and immature fruit frequently drop off; researchers have tried to determine the role growth hormones play in this abscission,?????????????;?????????????????????
abstemious,????,Some research suggests that people with an abstemious lifestyle tend to live longer than people who indulge their appetites,
abstinence,??,The best way to avoid pregnancy is total abstinence from sex,?????????????
abysmal ,??,abysmal working conditions,???????
accretion,??/??,The fund was increased by the accretion of new shareholders,????????????????
accrue,??/??,Interest will accrue on the account at a rate of seven percent,?????????7%?????
adjunct,???,,
affected,?????,an affected manner/style of writing,???????/??
affinity,??/??,She seems to have a natural affinity for/with water / There are several close affinities between the two paintings,????????? / ??????????????
alacrity,??,She accepted the money with alacrity,???????
alchemy,???,,
allay,??,The government is trying to allay public fears/concern about the spread of the disease,????????????????????
alloy,??,Brass is an alloy of copper and zinc,?????????
amenable,??????,She might be more amenable to the idea if you explained how much money it would save,??????????????????????????????
amenity,????,"The council has some spare cash, which it proposes to spend on public amenities",?????????????????????????
analgesic,???,This cream contains a mild analgesic to soothe stings and bites,??????????????????????????????
anarchy,?????,What we are witnessing is the country's slow slide into anarchy,????????????????????
anodyne,???/???,"Some people use alcohol as an anodyne to numb their emotional pain / The public relations offier is remarkably anodyne; all he does is mouth comforting, politically correct platitudes, saying nothing of substance",
antediluvian,?????,My mother has some hopelessly antediluvian ideas about the role of women,???????????????????
appellation,??,"As a child, he received the appellation ""Mouse""",????????????
apposite,???,an apposite phrase/quotation/remark,??????????
apprise,??,The president has been apprised of the situation,???????????
approbation,??/??,The council has finally indicated its approbation of the plans,?????????????
appropriate,??,He lost his job when he was found to have appropriated some of the company's money,????????????????
apropos,????/????/???,"Apropos what you said yesterday, I think you made the right decision / clothes that are apropos to the occasion / clothes that are apropos to the occasion",???????????????????? / ?????????? / ??????????
arabesque,??/??,,
archaeology,???,,
argot,??,thieves' argot,?????
arrest,??/??,The treatment has so far done little to arrest the spread of the cancer,?????????????????????
artifact,????,The museum's collection includes artefacts dating back to prehistoric times,????????????????
artless,???,"""Why did you take the money?"" she asked the child. ""Because I wanted it,"" came the artless reply",??????????????????????????????????
assiduous,???,assiduous research/efforts,??????????
astringent,???/???,astringent criticism,?????
asylum,??,to seek/apply for political asylum,?????????
atavism,????,I don't believe the urge to connect with other people is an atavism,???????????????????
autonomous,???,an autonomous region/province/republic/council,??????????????
avocation,??,,
avuncular,??????,"an avuncular, quietly spoken man",????????????
banter,???,He considered himself a master of witty banter,???????????????
bard,??,,
bawdy,???,bawdy humour/songs,???????
beatify,??,He beatifies his first wife while celebrating his own extra-marital affairs,????????????????????????
bedizen,????????,,
belie,?????,Her calm face belied the terror she was feeling,??????????????
bifurcate,??,A sample of water was taken from the point where the river bifurcates,???????????
blandishment,??,,
blas‚,?????/????,"He flies first class so often, he's become blas‚ about it",????????????????????
boorish,???,I found him rather boorish and aggressive,?????????????
bovine,??,a bovine virus,??????
brazen,?????,brazen cheating,?????????
broach,??,At some point we've got to discuss money but I don't know how to broach the subject with him,????????????????????????
bucolic,???,The painting shows a typically bucolic scene with peasants,???????????????????????
buttress,????/??,The arguments for change are buttressed by events elsewhere,???????????????????
cadge,??,He's always cadging free meals and free trips from/off his clients,???????????????
callous,?????,"It might sound callous, but I don't care if he's homeless. He's not living with me!",???????????????????????????????????
canon,??/...?????,,
cantankerous,???,He's getting a bit cantankerous in his old age,?????????????????
captious,?????,,
cardinal,????,a cardinal rule/error/sin,??????????????
carnal,???,carnal desires,??
carp,????,I can't stand the way he's always carping,????????????????
cartography,???,,
caste,????,the caste system,????
cataclysm,??/???,,
